reaction_energy,activation_energy,surface,ab,a,b,reference,url,dataset
-2.62089,-2.62089,AuZn3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.61533,-2.61533,SbPd(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.61415,-2.61415,LaBi3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.60529,-2.60529,GePd(211) AA,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.605,-2.605,PtZn3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.59242,-2.59242,GePd(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.57159,-2.57159,PtSn3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.55798,-2.55798,GePt(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.55085,-2.55085,PbAu3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.54757,-2.54757,GaRh(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.54598,-2.54598,AgZn3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.53664,-2.53664,CdCu3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.52746,-2.52746,AsPd(211) AA,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.51748,-2.51748,PtGa3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
